"imageUrl","title","price","totalScore","reviewsCount","state","city","phone","categoryName","description","placeId","location/lat","location/lng"
"https://lh5.googleusercontent.com/p/AF1QipOmZa4aksBPODLUck3LDif7a_JaVidTyeHqkbma=w480-h240-k-no","Rahmat International Wildlife Museum & Gallery",,"4.6","2795","Sumatera Utara","Kota Medan","+62 61 4569964","Tujuan Wisata","Pameran hewan taksidermi yang mendetail di habitat alaminya, juga memiliki kafe & toko suvenir.","ChIJ1dAecNAxMTARgTc1MDi9n3g","3.5792189","98.6674906"
"https://lh5.googleusercontent.com/p/AF1QipPH6S5itm3qR9hbrVWa1kb2E9DX3JGho0f28lyJ=w408-h306-k-no","Tjong A Fie Mansion",,"4.6","3145","Sumatera Utara","Kota Medan","+62 811-6130-388","Tujuan Wisata","Dibangun pada 1895, rumah pengusaha ternama Tjong A Fie yang dipugar, menyediakan galeri dan tur berpemandu.","ChIJZ4ThickxMTARvvjDDIvvrcw","3.5853631","98.6802302"
"https://lh5.googleusercontent.com/p/AF1QipNDx40W-6vue5Zq0F1N8lWhcq66iIMvU9MrYOcR=w408-h306-k-no","TAMAN WISATA DANAU SIOMBAK MARELAN",,"4","1291","Sumatera Utara","Kota Medan","+62 812-6326-301","Tujuan Wisata","Danau buatan di pedesaan dengan penyewaan perahu kecil, pemancingan, tempat piknik, & penjaja makanan.","ChIJ935f953SNjARYn9Wo-1ZxvE","3.7266473","98.6631891"
"https://lh5.googleusercontent.com/p/AF1QipOImUN8ZYMwtt0V_UaB0SygATpSd5Lc9hOonEg=w408-h304-k-no","Museum Negeri Sumatera Utara",,"4.5","2713","Sumatera Utara","Kota Medan",,"Tujuan Wisata","Museum kecil yang mencatat sejarah & budaya lokal, dengan artefak suku & tur berpemandu.","ChIJH0WmUVowMTARis9K2WYgan4","3.5681315","98.6963665"
"https://lh5.googleusercontent.com/p/AF1QipPGwsj8fe3EsjQ8CT2aVe1tlZrz0gM2BQmKAxRa=w408-h306-k-no","Kuil Shri Mariamman",,"4.6","958","Sumatera Utara","Kota Medan",,"Tujuan Wisata","Dibangun tahun 1884, tempat pemujaan dewi hujan Hindu ini berdekorasi warna-warni & penuh ornamen.","ChIJaexxOdQxMTARt3BU1MPMyK0","3.583902","98.671177"
"https://lh5.googleusercontent.com/p/AF1QipOgjK90u5RnBRDLMD3W_5M3vdD6n1eDgzTgI7n7=w408-h544-k-no","Pubbarama Buddhist Centre (PBC)",,"4.7","334","Sumatera Utara","Kota Medan","+62 812-6922-2666","Tujuan Wisata",,"ChIJJydx3IIyMTAR3EeLVLialQs","3.6698031","98.662261"
"https://lh5.googleusercontent.com/p/AF1QipPi_9CBLRiGPlKVwGF1zQ0tmCBsUv18fygcVvh9=w408-h544-k-no","Taman Ahmad Yani Medan",,"4.4","4399","Sumatera Utara","Kota Medan",,"Taman","Ruang hijau kota yang semarak dengan jalur rindang yang luas, perlengkapan gym outdoor & taman bermain.","ChIJJc8rCjQwMTARP0_WLlBQbfY","3.5764231","98.6766434"
"https://lh5.googleusercontent.com/p/AF1QipMvHdbek5Vs8FmiIj1gNHLnAqD48t1AYFdoFBS1=w408-h306-k-no","Kampoeng Selfie (Kongsi)",,"4.3","191","Sumatera Utara","Kota Medan",,"Tujuan Wisata",,"ChIJn79-5S4wMTARvQWiTTzKq-s","3.5732505","98.6677143"
"https://lh5.googleusercontent.com/p/AF1QipOHMIEEy0IwKvO55QEw30ZpnOGErcEbUozRPd20=w408-h306-k-no","Penangkaran Buaya Asam Kumbang",,"4.2","2318","Sumatera Utara","Kota Medan","+62 61 8211134","Tujuan Wisata","Taman seluas 2 hektar yang telah lama berdiri ini memiliki ribuan buaya muda sampai tua.","ChIJVXLHJ6cvMTARisZeQlbBOcs","3.5663129","98.6197935"
"https://lh5.googleusercontent.com/p/AF1QipM7hcxSV3s8s3tSqUFkliEtlMfLgMEBQEGxpSdZ=w408-h408-k-no","Oleh Oleh Medan MARKISA NOERLEN Home Made since 1985",,"4.4","322","Sumatera Utara","Kota Medan","+62 811-6320-178","Tujuan Wisata",,"ChIJf39Ez9QvMTARWSdsjfkbxgI","3.5800011","98.6563012"
"https://lh5.googleusercontent.com/p/AF1QipPrzd0Ln3bnBU5g2gU-_4jGh1gQdOX25ISmSQrO=w408-h306-k-no","Taman Gajah Mada",,"4.3","3487","Sumatera Utara","Kota Medan",,"Tujuan Wisata",,"ChIJ75rUDSouMTARxdqqukiYvcA","3.5842487","98.6588732"
"https://lh5.googleusercontent.com/p/AF1QipNct8oLdiT2voVoH6EpTAVK8kmd_IhSkByXHo20=w408-h306-k-no","Graha Maria Annai Velangkanni",,"4.8","4515","Sumatera Utara","Kota Medan","+62 61 8201943","Tujuan Wisata","Dibangun pada tahun 2005, gereja Katolik bergaya Indo-Mogul ini dipersembahkan untuk Our Lady of Good Health.","ChIJe43XdHEuMTAROd5xOFsTihY","3.54757","98.608666"
